roomNumber,bin,room_entry_sequence,user_id,prev_people,expected_people,curr_people,lost_update_diff
1181,5,88,yhjj886,88,89,89,0
1181,5,89,yhjj955,89,90,90,0
1181,5,90,yhjj903,90,91,91,0
1181,5,91,yhjj881,91,92,92,0
1181,5,92,yhjj843,92,93,93,0
1181,5,93,yhjj850,93,94,94,0
1181,5,94,yhjj963,94,95,95,0
1181,5,95,yhjj913,95,96,96,0
1181,5,96,yhjj910,96,97,97,0
1181,5,97,yhjj916,97,98,98,0
1181,5,98,yhjj1003,98,99,99,0
1181,5,99,yhjj883,99,100,100,0
1181,5,100,yhjj908,100,,100,0
1181,6,101,yhjj839,100,,100,0
1181,6,102,yhjj961,100,,100,0
1181,6,103,yhjj942,100,,100,0
1181,6,104,yhjj925,100,,100,0
1181,6,105,yhjj970,100,,100,0
1181,6,106,yhjj945,100,,100,0
1181,6,107,yhjj953,100,,100,0
1181,6,108,yhjj946,100,,100,0
1181,6,109,yhjj1007,100,,100,0
1181,6,110,yhjj959,100,,100,0
1181,6,111,yhjj917,100,,100,0
1181,6,112,yhjj944,100,,100,0
1181,6,113,yhjj1013,100,,100,0
1181,6,114,yhjj998,100,,100,0
1181,6,115,yhjj930,100,,100,0
1181,6,116,yhjj964,100,,100,0
1181,6,117,yhjj933,100,,100,0
1181,6,118,yhjj992,100,,100,0
1181,6,119,yhjj956,100,,100,0
1181,6,120,yhjj1004,100,,100,0
1181,7,121,yhjj962,100,,100,0
1181,7,122,yhjj935,100,,100,0
1181,7,123,yhjj894,100,,100,0
1181,7,124,yhjj927,100,,100,0
1181,7,125,yhjj920,100,,100,0
1181,7,126,yhjj960,100,,100,0
1181,7,127,yhjj984,100,,100,0
1181,7,128,yhjj977,100,,100,0
1181,7,129,yhjj865,100,,100,0
1181,7,130,yhjj907,100,,100,0
1181,7,131,yhjj987,100,,100,0
1181,7,132,yhjj871,100,,100,0
1181,7,133,yhjj995,100,,100,0
1181,7,134,yhjj938,100,,100,0
1181,7,135,yhjj975,100,,100,0
1181,7,136,yhjj988,100,,100,0
1181,7,137,yhjj939,100,,100,0
1181,7,138,yhjj943,100,,100,0
1181,7,139,yhjj909,100,,100,0
1181,7,140,yhjj980,100,,100,0
1181,8,141,yhjj999,100,,100,0
1181,8,142,yhjj924,100,,100,0
1181,8,143,yhjj851,100,,100,0
1181,8,144,yhjj1006,100,,100,0
1181,8,145,yhjj957,100,,100,0
1181,8,146,yhjj973,100,,100,0
1181,8,147,yhjj969,100,,100,0
1181,8,148,yhjj985,100,,100,0
1181,8,149,yhjj897,100,,100,0
1181,8,150,yhjj898,100,,100,0
1181,8,151,yhjj978,100,,100,0
1181,8,152,yhjj958,100,,100,0
1181,8,153,yhjj991,100,,100,0
1181,8,154,yhjj968,100,,100,0
1181,8,155,yhjj1015,100,,100,0
1181,8,156,yhjj949,100,,100,0
1181,8,157,yhjj979,100,,100,0
1181,8,158,yhjj914,100,,100,0
1181,8,159,yhjj986,100,,100,0
1181,8,160,yhjj974,100,,100,0
1181,9,161,yhjj981,100,,100,0
1181,9,162,yhjj971,100,,100,0
1181,9,163,yhjj896,100,,100,0
1181,9,164,yhjj965,100,,100,0
1181,9,165,yhjj931,100,,100,0
1181,9,166,yhjj990,100,,100,0
1181,9,167,yhjj1012,100,,100,0
1181,9,168,yhjj882,100,,100,0
1181,9,169,yhjj863,100,,100,0
1181,9,170,yhjj911,100,,100,0
1181,9,171,yhjj1001,100,,100,0
1181,9,172,yhjj1010,100,,100,0
1181,9,173,yhjj884,100,,100,0
1181,9,174,yhjj891,100,,100,0
1181,9,175,yhjj937,100,,100,0
1181,9,176,yhjj948,100,,100,0
1181,9,177,yhjj997,100,,100,0
1181,9,178,yhjj950,100,,100,0
1181,9,179,yhjj1014,100,,100,0
1181,9,180,yhjj952,100,,100,0
1181,10,181,yhjj929,100,,100,0
1181,10,182,yhjj983,100,,100,0
1181,10,183,yhjj951,100,,100,0
1181,10,184,yhjj867,100,,100,0
1181,10,185,yhjj1018,100,,100,0
1181,10,186,yhjj954,100,,100,0
1181,10,187,yhjj936,100,,100,0
1181,10,188,yhjj899,100,,100,0
1181,10,189,yhjj966,100,,100,0
1181,10,190,yhjj972,100,,100,0
1181,10,191,yhjj947,100,,100,0
1181,10,192,yhjj967,100,,100,0
1181,10,193,yhjj893,100,,100,0
1181,10,194,yhjj836,100,,100,0
1181,10,195,yhjj989,100,,100,0
1181,10,196,yhjj905,100,,100,0
1181,10,197,yhjj940,100,,100,0
1181,10,198,yhjj1000,100,,100,0
1181,10,199,yhjj1002,100,,100,0
1181,10,200,yhjj1017,100,,100,0
1182,1,1,yhjj819,1,2,2,0
1182,1,2,yhjj858,2,3,3,0
1182,1,3,yhjj838,3,4,4,0
1182,1,4,yhjj835,4,5,5,0
1182,1,5,yhjj842,5,6,6,0
1182,1,6,yhjj870,6,7,7,0
1182,1,7,yhjj821,7,8,8,0
