roomNumber,bin,room_entry_sequence,user_id,curr_people,ideal_sequential_state,sequential_consistency_diff,max_people,join_result,sequential_consistency_violation,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1307,4,62,yhjj858,62,63,-1,100,SUCCESS,True,1449492168900,1449492313700
1302,4,63,yhjj1009,67,64,3,100,SUCCESS,True,1038435645400,1038438075399
1305,4,64,yhjj877,66,65,1,100,SUCCESS,True,1255425008400,1255426152800
1302,4,64,yhjj969,66,65,1,100,SUCCESS,True,1038437162000,1038437864900
1304,4,64,yhjj924,63,65,-2,100,SUCCESS,True,1200362769800,1200362819700
1301,4,64,yhjj862,67,65,2,100,SUCCESS,True,876877006200,876878525200
1305,4,65,yhjj896,65,66,-1,100,SUCCESS,True,1255425077300,1255425171800
1301,4,65,yhjj928,65,66,-1,100,SUCCESS,True,876877167500,876877230200
1302,4,65,yhjj896,64,66,-2,100,SUCCESS,True,1038437247399,1038437313299
1307,4,66,yhjj900,68,67,1,100,SUCCESS,True,1449513804300,1449513954200
1302,4,66,yhjj902,65,67,-2,100,SUCCESS,True,1038437558700,1038437653600
1301,4,66,yhjj823,66,67,-1,100,SUCCESS,True,876877944500,876878006100
1303,4,69,yhjj852,71,70,1,100,SUCCESS,True,1117092389600,1117092703700
1301,4,69,yhjj962,71,70,1,100,SUCCESS,True,876880809200,876881171900
1301,4,70,yhjj894,70,71,-1,100,SUCCESS,True,876880878400,876881006900
1305,4,70,yhjj852,72,71,1,100,SUCCESS,True,1255429387100,1255429824000
1303,4,70,yhjj827,74,71,3,100,SUCCESS,True,1117092510400,1117093287500
1303,4,71,yhjj949,70,72,-2,100,SUCCESS,True,1117092603200,1117092655700
1305,4,71,yhjj935,71,72,-1,100,SUCCESS,True,1255429733000,1255429777900
1303,4,72,yhjj1017,72,73,-1,100,SUCCESS,True,1117092823500,1117092951700
1303,4,73,yhjj1015,73,74,-1,100,SUCCESS,True,1117093073600,1117093118600
1301,4,73,yhjj885,75,74,1,100,SUCCESS,True,876885548300,876886056000
1304,4,73,yhjj945,75,74,1,100,SUCCESS,True,1200376094700,1200378022700
1301,4,74,yhjj979,74,75,-1,100,SUCCESS,True,876885807500,876885854100
1304,4,74,yhjj899,74,75,-1,100,SUCCESS,True,1200376495500,1200376588200
1304,4,75,yhjj951,78,76,2,100,SUCCESS,True,1200376669700,1200379338700
1304,4,76,yhjj888,76,77,-1,100,SUCCESS,True,1200378009400,1200378129400
1302,4,76,yhjj916,79,77,2,100,SUCCESS,True,1038461459599,1038464088400
1308,4,77,yhjj886,79,78,1,100,SUCCESS,True,1519165003300,1519165251500
1310,4,77,yhjj904,79,78,1,100,SUCCESS,True,1694137916100,1694138308900
1304,4,77,yhjj1015,79,78,1,100,SUCCESS,True,1200379130800,1200380141900
