roomNumber,bin,room_entry_sequence,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_people,curr_people,lost_update_diff
1181,8,148,yhjj985,,,100,,100,0
1181,8,149,yhjj897,,,100,,100,0
1181,8,150,yhjj898,,,100,,100,0
1181,8,151,yhjj978,,,100,,100,0
1181,8,152,yhjj958,,,100,,100,0
1181,8,153,yhjj991,,,100,,100,0
1181,8,154,yhjj968,,,100,,100,0
1181,8,155,yhjj1015,,,100,,100,0
1181,8,156,yhjj949,,,100,,100,0
1181,8,157,yhjj979,,,100,,100,0
1181,8,158,yhjj914,,,100,,100,0
1181,8,159,yhjj986,,,100,,100,0
1181,8,160,yhjj974,,,100,,100,0
1181,9,161,yhjj981,,,100,,100,0
1181,9,162,yhjj971,,,100,,100,0
1181,9,163,yhjj896,,,100,,100,0
1181,9,164,yhjj965,,,100,,100,0
1181,9,165,yhjj931,,,100,,100,0
1181,9,166,yhjj990,,,100,,100,0
1181,9,167,yhjj1012,,,100,,100,0
1181,9,168,yhjj882,,,100,,100,0
1181,9,169,yhjj863,,,100,,100,0
1181,9,170,yhjj911,,,100,,100,0
1181,9,171,yhjj1001,,,100,,100,0
1181,9,172,yhjj1010,,,100,,100,0
1181,9,173,yhjj884,,,100,,100,0
1181,9,174,yhjj891,,,100,,100,0
1181,9,175,yhjj937,,,100,,100,0
1181,9,176,yhjj948,,,100,,100,0
1181,9,177,yhjj997,,,100,,100,0
1181,9,178,yhjj950,,,100,,100,0
1181,9,179,yhjj1014,,,100,,100,0
1181,9,180,yhjj952,,,100,,100,0
1181,10,181,yhjj929,,,100,,100,0
1181,10,182,yhjj983,,,100,,100,0
1181,10,183,yhjj951,,,100,,100,0
1181,10,184,yhjj867,,,100,,100,0
1181,10,185,yhjj1018,,,100,,100,0
1181,10,186,yhjj954,,,100,,100,0
1181,10,187,yhjj936,,,100,,100,0
1181,10,188,yhjj899,,,100,,100,0
1181,10,189,yhjj966,,,100,,100,0
1181,10,190,yhjj972,,,100,,100,0
1181,10,191,yhjj947,,,100,,100,0
1181,10,192,yhjj967,,,100,,100,0
1181,10,193,yhjj893,,,100,,100,0
1181,10,194,yhjj836,,,100,,100,0
1181,10,195,yhjj989,,,100,,100,0
1181,10,196,yhjj905,,,100,,100,0
1181,10,197,yhjj940,,,100,,100,0
1181,10,198,yhjj1000,,,100,,100,0
1181,10,199,yhjj1002,,,100,,100,0
1181,10,200,yhjj1017,,,100,,100,0
