roomNumber,bin,room_entry_sequence,user_id,prev_entry_time,curr_entry_time,curr_people,max_people
1176,7,126,yhjj948,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
1176,7,128,yhjj1001,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
1176,7,132,yhjj1002,2025-07-12 06:16:33.982695+00:00,2025-07-12 06:16:33.982695+00:00,101,100
1176,7,133,yhjj917,2025-07-12 06:16:33.982695+00:00,2025-07-12 06:16:33.982695+00:00,101,100
1176,7,134,yhjj987,2025-07-12 06:16:33.982695+00:00,2025-07-12 06:16:33.982695+00:00,101,100
1176,7,135,yhjj914,2025-07-12 06:16:33.982695+00:00,2025-07-12 06:16:33.982695+00:00,101,100
1176,7,136,yhjj899,2025-07-12 06:16:33.982695+00:00,2025-07-12 06:16:33.982695+00:00,101,100
1176,7,137,yhjj985,2025-07-12 06:16:33.984717+00:00,2025-07-12 06:16:33.984717+00:00,101,100
1176,7,140,yhjj992,2025-07-12 06:16:33.985422+00:00,2025-07-12 06:16:33.985422+00:00,101,100
1176,7,138,yhjj990,2025-07-12 06:16:33.985422+00:00,2025-07-12 06:16:33.985422+00:00,101,100
1176,7,139,yhjj857,2025-07-12 06:16:33.985422+00:00,2025-07-12 06:16:33.985422+00:00,101,100
1176,8,141,yhjj851,2025-07-12 06:16:33.987320+00:00,2025-07-12 06:16:33.987320+00:00,101,100
1176,8,142,yhjj944,2025-07-12 06:16:33.987320+00:00,2025-07-12 06:16:33.987320+00:00,101,100
1176,8,143,yhjj962,2025-07-12 06:16:33.987320+00:00,2025-07-12 06:16:33.987320+00:00,101,100
1176,8,144,yhjj967,2025-07-12 06:16:33.987320+00:00,2025-07-12 06:16:33.987320+00:00,101,100
1176,8,147,yhjj886,2025-07-12 06:16:33.988521+00:00,2025-07-12 06:16:33.988521+00:00,101,100
1176,8,146,yhjj1017,2025-07-12 06:16:33.988521+00:00,2025-07-12 06:16:33.988521+00:00,101,100
1176,8,145,yhjj937,2025-07-12 06:16:33.988521+00:00,2025-07-12 06:16:33.988894+00:00,101,100
1176,8,148,yhjj877,2025-07-12 06:16:33.988894+00:00,2025-07-12 06:16:33.988894+00:00,101,100
1176,8,149,yhjj986,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,151,yhjj991,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,150,yhjj915,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,153,yhjj953,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,152,yhjj909,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,155,yhjj896,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,154,yhjj939,2025-07-12 06:16:33.990095+00:00,2025-07-12 06:16:33.990095+00:00,101,100
1176,8,156,yhjj887,2025-07-12 06:16:33.991628+00:00,2025-07-12 06:16:33.991628+00:00,101,100
1176,8,157,yhjj927,2025-07-12 06:16:33.991628+00:00,2025-07-12 06:16:33.991628+00:00,101,100
1176,8,158,yhjj995,2025-07-12 06:16:33.991628+00:00,2025-07-12 06:16:33.991628+00:00,101,100
1176,8,159,yhjj971,2025-07-12 06:16:33.991628+00:00,2025-07-12 06:16:33.991628+00:00,101,100
1176,8,160,yhjj952,2025-07-12 06:16:33.991628+00:00,2025-07-12 06:16:33.991628+00:00,101,100
1176,9,163,yhjj921,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,162,yhjj827,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,161,yhjj882,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,166,yhjj906,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,165,yhjj847,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,164,yhjj1018,2025-07-12 06:16:33.993335+00:00,2025-07-12 06:16:33.993335+00:00,101,100
1176,9,173,yhjj871,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
