roomNumber,bin,room_entry_sequence,user_id,prev_people,curr_people,max_people,join_result,anomaly_type,over_capacity_amount,over_capacity_curr,over_capacity_max,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1301,10,181,yhjj905,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877026000000.0,877026000000.0
1301,10,182,yhjj947,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877026000000.0,877034000000.0
1301,10,183,yhjj900,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877027000000.0,877027000000.0
1301,10,184,yhjj835,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877028000000.0,877028000000.0
1301,10,185,yhjj960,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877029000000.0
1301,10,186,yhjj931,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877029000000.0
1301,10,187,yhjj966,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877032000000.0
1301,10,188,yhjj866,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877030000000.0
1301,10,189,yhjj997,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877030000000.0,877030000000.0
1301,10,190,yhjj944,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877034000000.0
1301,10,191,yhjj948,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877034000000.0
1301,10,192,yhjj943,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877032000000.0
1301,10,193,yhjj878,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877031000000.0
1301,10,194,yhjj938,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877033000000.0
1301,10,195,yhjj975,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877035000000.0
1301,10,196,yhjj988,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877033000000.0,877033000000.0
1301,10,197,yhjj987,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877034000000.0,877034000000.0
1301,10,198,yhjj875,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877034000000.0,877034000000.0
1301,10,199,yhjj933,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877035000000.0,877035000000.0
1301,10,200,yhjj918,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877035000000.0,877036000000.0
