roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1170,5,yhjj968,6.0,"yhjj968, yhjj928, yhjj858, yhjj885, yhjj994, yhjj910",3607776114100,3607776158500,44400
1170,5,yhjj843,2.0,"yhjj843, yhjj910",3607778859100,3607778902500,43400
1170,5,yhjj916,5.0,"yhjj1015, yhjj916, yhjj834, yhjj888, yhjj895",3607781523700,3607781896700,373000
1170,5,yhjj834,5.0,"yhjj1015, yhjj916, yhjj834, yhjj888, yhjj895",3607781927700,3607782032400,104700
1170,5,yhjj1015,3.0,"yhjj895, yhjj1015, yhjj888",3607782169800,3607782230500,60700
1170,5,yhjj888,3.0,"yhjj895, yhjj1015, yhjj888",3607783657000,3607783699700,42700
1170,5,yhjj895,3.0,"yhjj895, yhjj1015, yhjj888",3607784246900,3607784307400,60500
1170,5,yhjj836,5.0,"yhjj855, yhjj836, yhjj957, yhjj857, yhjj869",3607786381700,3607786650200,268500
1170,5,yhjj957,5.0,"yhjj855, yhjj836, yhjj957, yhjj857, yhjj869",3607786670700,3607786759800,89100
1170,5,yhjj857,5.0,"yhjj855, yhjj836, yhjj957, yhjj857, yhjj869",3607787051300,3607787094200,42900
1170,5,yhjj855,2.0,"yhjj869, yhjj855",3607788378800,3607788958100,579300
1170,5,yhjj869,2.0,"yhjj869, yhjj855",3607789110100,3607789156300,46200
1170,5,yhjj913,2.0,"yhjj864, yhjj913",3607789720300,3607789769000,48700
1170,5,yhjj864,2.0,"yhjj864, yhjj913",3607790896400,3607791001000,104600
1170,5,yhjj893,4.0,"yhjj866, yhjj893, yhjj947, yhjj912",3607791031500,3607791125700,94200
1170,5,yhjj947,4.0,"yhjj866, yhjj893, yhjj947, yhjj912",3607791249800,3607791269000,19200
1170,6,yhjj912,4.0,"yhjj866, yhjj893, yhjj947, yhjj912",3607791375800,3607791398600,22800
1170,6,yhjj866,4.0,"yhjj866, yhjj893, yhjj947, yhjj912",3607792205000,3607792227200,22200
1170,6,yhjj901,4.0,"yhjj840, yhjj901, yhjj851, yhjj867",3607793816600,3607793852500,35900
1170,6,yhjj851,4.0,"yhjj840, yhjj901, yhjj851, yhjj867",3607794413200,3607794608500,195300
1170,6,yhjj867,4.0,"yhjj840, yhjj901, yhjj851, yhjj867",3607794492500,3607794514600,22100
1170,6,yhjj840,4.0,"yhjj840, yhjj901, yhjj851, yhjj867",3607794803200,3607794824700,21500
1170,6,yhjj909,2.0,"yhjj922, yhjj909",3607797677600,3607797700100,22500
1170,6,yhjj922,2.0,"yhjj922, yhjj909",3607798137300,3607798172500,35200
1170,6,yhjj878,3.0,"yhjj935, yhjj878, yhjj952",3607799751600,3607799773700,22100
1170,6,yhjj952,3.0,"yhjj935, yhjj878, yhjj952",3607800053500,3607800076400,22900
1170,6,yhjj935,3.0,"yhjj935, yhjj878, yhjj952",3607800252200,3607800271600,19400
1170,6,yhjj938,5.0,"yhjj975, yhjj938, yhjj898, yhjj937, yhjj977",3607803040500,3607803077000,36500
1170,6,yhjj898,5.0,"yhjj975, yhjj938, yhjj898, yhjj937, yhjj977",3607803048100,3607803120400,72300
1170,6,yhjj937,5.0,"yhjj975, yhjj938, yhjj898, yhjj937, yhjj977",3607803099300,3607803126000,26700
1170,6,yhjj977,5.0,"yhjj975, yhjj938, yhjj898, yhjj937, yhjj977",3607803237500,3607803255800,18300
1170,6,yhjj975,5.0,"yhjj975, yhjj938, yhjj898, yhjj937, yhjj977",3607803591100,3607803620500,29400
1170,6,yhjj877,5.0,"yhjj819, yhjj877, yhjj962, yhjj880, yhjj974",3607803708200,3607803727200,19000
1170,6,yhjj962,5.0,"yhjj819, yhjj877, yhjj962, yhjj880, yhjj974",3607804251000,3607804270300,19300
1170,6,yhjj880,5.0,"yhjj819, yhjj877, yhjj962, yhjj880, yhjj974",3607804810900,3607804830600,19700
1170,7,yhjj974,5.0,"yhjj819, yhjj877, yhjj962, yhjj880, yhjj974",3607804858500,3607804876400,17900
1170,7,yhjj819,5.0,"yhjj819, yhjj877, yhjj962, yhjj880, yhjj974",3607805066500,3607805097200,30700
1170,7,yhjj996,8.0,"yhjj914, yhjj996, yhjj902, yhjj985, yhjj991, yhjj955, yhjj997, yhjj821",3607806606600,3607806627200,20600
1170,7,yhjj902,8.0,"yhjj914, yhjj996, yhjj902, yhjj985, yhjj991, yhjj955, yhjj997, yhjj821",3607806759600,3607806781600,22000
1170,7,yhjj985,8.0,"yhjj914, yhjj996, yhjj902, yhjj985, yhjj991, yhjj955, yhjj997, yhjj821",3607806811300,3607806843200,31900
1170,7,yhjj914,5.0,"yhjj821, yhjj914, yhjj991, yhjj955, yhjj997",3607807094200,3607808295400,1201200
